hostname,hostid,sy_name,hd_name,hip_name,tic_id,gaia_dr3_id,st_spectype,st_teff,st_rad,st_mass,st_lum,st_dens,st_logg,st_age,st_met,st_metratio,st_radv,st_rotp,st_vsin,st_log_rhk
2MASS J01033563-5515561 A,2.104427,2MASS J01033563-5515561,,,TIC 206502540,,M5.5/M6,,,0.19,,,,0.03,,,,,,
2MASS J01225093-2439505,2.103694,2MASS J01225093-2439505,,,TIC 11614485,Gaia DR3 5040416186560252416,M3.5 V,3530,0.36645,0.4,-1.72,10.118676,4.85804,0.12,,,9.6,,,
2MASS J02192210-3925225,2.103766,2MASS J02192210-3925225,,,TIC 77111651,Gaia DR3 4963614887043956096,M6,3064,0.281,0.108,-2.23,17.670763,4.59,0.035,,,10.6,,6.5,
2MASS J0249-0557 A,2.579433,2MASS J0249-0557,,,TIC 10930507,Gaia DR3 5183875103632956032,M6 V,2859,0.315959,0.046,-2.59,13.181213,4.90849,0.022,,,,,,
2MASS J03590986+2009361,2.579425,2MASS J03590986+2009361,,,TIC 14183352,Gaia DR3 51369428065705600,,2943,0.289776,0.264996,-2.24602,15.353854,4.93718,,,,,,,
2MASS J04372171+2651014,2.358091,2MASS J04372171+2651014,,,TIC 125843782,Gaia DR3 151499478104075008,M V,3100,0.84,0.17,-1.16368,3.320183,4.5,0.0025,0.01,[Fe/H],17.1,1.84,22.54,
2MASS J04414489+2301513,2.103461,2MASS J04414489+2301513,,,TIC 118893899,Gaia DR3 146487556211644544,M8.5,2936,0.231916,0.019,-2.44363,22.781101,5.01181,0.001,,,,,,
2MASS J11011926-7732383,2.579428,2MASS J11011926-7732383,,,TIC 454227159,Gaia DR3 5201185574182015744,,,,,,,,,,,,,,
2MASS J11550485-7919108,2.579417,2MASS J11550485-7919108,,,TIC 357014373,Gaia DR3 5199985216726016896,,3021,0.600455,0.58846,-1.56774,3.832133,4.65082,,,,,,,
2MASS J12073346-3932539,2.103395,2MASS J12073346-3932539,,,TIC 102076870,Gaia DR3 3459372646830687104,M8,2825,0.21887,0.188001,-2.56086,25.279454,5.03186,0.01,,,,,,
2MASS J16262785-2625152,2.105242,2MASS J16262785-2625152,,,TIC 175594111,Gaia DR3 6045818685674325760,M4.5,3252,,,,,,0.0113,,,,,,
2MASS J19383260+4603591,2.556713,2MASS J19383260+4603591,,,TIC 271164763,Gaia DR3 2080063931448749824,,29564,0.203,0.48,1.45,,5.508,,-0.092,[Fe/H],,,,
2MASS J21252752-8138278,2.579418,2MASS J21252752-8138278,,,TIC 273305007,Gaia DR3 6348514275456913792,,3592,0.672832,0.643977,-1.16815,2.980683,4.59112,,,,,,,
2MASS J22362452+4751425,2.103840,2MASS J22362452+4751425,,,TIC 200532605,Gaia DR3 1986772848034988544,K7 V,4045,0.641152,0.6,-1.02143,3.369936,4.62349,0.12,,,-21.5,,,
2MASS J22501512+2325342,2.580101,2MASS J22501512+2325342,,,TIC 435830255,Gaia DR3 2837047214379099904,M3,3352,0.437589,0.433173,-1.66196,7.288323,4.7926,0.15,,,,,30,
4 UMa,2.55736,4 UMa,HD 73108,HIP 42527,TIC 356478817,Gaia DR3 1092230803512999424,K1 III,4415,18.11,1.234,2.06236,,1.8,4.604,-0.25,[Fe/H],14.61858,,,
47 UMa,2.56295,47 UMa,HD 95128,HIP 53721,TIC 21535479,Gaia DR3 777254360337133312,G0V,5872,1.21334,1.06,0.1978,0.836616,4.29541,6.48,0.04,[M/H],11.22,,2.8,-5.02
51 Eri,2.54963,51 Eri,HD 29391,HIP 21547,TIC 298810162,Gaia DR3 3205095125321700480,F0 IV,7422,1.45,1.75,0.7574,0.707115,4.31078,0.0232,0.13,[Fe/H],17.3,,65.19,
51 Peg,2.60802,51 Peg,HD 217014,HIP 113357,TIC 139298196,Gaia DR3 2835207319109249920,G5V,5758,1.17561,1.03,0.13631,0.893738,4.31038,10,0.18,[M/H],-33.2516,30,2.2,-5.08
55 Cnc,2.55834,55 Cnc,HD 75732,HIP 43587,TIC 332064670,Gaia DR3 704967037090946688,G8 V,5198,0.98,1.015,-0.19695,1.521203,4.3,10,0.39,[M/H],27.40949,39,1.06,-5.04
55 Cnc,2.55834,55 Cnc,HD 75732,HIP 43587,TIC 332064670,Gaia DR3 704967037090946688,G8 V,5172,0.943,0.905,-0.19695,1.521203,4.43,5.5,0.35,[Fe/H],27.40949,38.8,1.23,-5.04
55 Cnc B,2.104053,55 Cnc,,,TIC 332064684,Gaia DR3 704966762213039488,M4.5 V,3286,0.274,0.26,-2.10811,15.367953,4.86,10,0.16,[M/H],,92,1.29,
6 Lyn,2.55357,6 Lyn,HD 45410,HIP 31039,TIC 444865362,Gaia DR3 1004358968092652544,K0 IV,4941,4.94,1.32,1.1186,,3.16,2.353,-0.17,[Fe/H],39.69716,,1.32,
61 Vir,2.56929,61 Vir,HD 115617,HIP 64924,TIC 422478973,Gaia DR3 3507879565090229888,G5 V,5577,0.963,0.942,-0.095,1.44933,4.34,8.96,-0.01,[Fe/H],-8.2,,1.9,-5.04
7 CMa,2.55372,7 CMa,HD 47205,HIP 31592,TIC 48237215,Gaia DR3 2939555954755196160,K1III(+M),4826,4.87,1.34,1.06258,,3.19,4.3,0.21,[Fe/H],,,1.15,
70 Vir,2.57003,70 Vir,HD 117176,HIP 65721,TIC 95473936,Gaia DR3 3740176925743994752,G5V,5495,1.89,1.09,0.4513,0.190245,3.95,7.77,-0.09,[Fe/H],4.951,,1.56,-4.99
75 Cet,2.54423,75 Cet,HD 15779,HIP 11791,TIC 251095345,Gaia DR3 2500064286492779264,G3 III,4809,10.38,1.92,1.7145,,2.69,,0.1,[Fe/H],-6.21279,,1.77,
8 UMi,2.57334,8 UMi,HD 133086,HIP 73136,TIC 257005016,Gaia DR3 1700658653802527104,K0,4847,10.73,1.51,1.72346,,2.57,1.7,-0.03,[m/H],-9.20325,,3.6,
81 Cet,2.54436,81 Cet,HD 16400,HIP 12247,TIC 35725282,Gaia DR3 2495420602212048640,G5 III,4734,11.21,1.23,1.76027,,2.41,,-0.11,[Fe/H],9.25447,,1.8,
91 Aqr,2.61504,91 Aqr,HD 219449,HIP 114855,TIC 4610441,Gaia DR3 2630155547353593216,K0 III,4665,11,1.4,1.69239,,2.52,3.56,-0.03,[Fe/H],-25.75,,3.9,
AB Aur,2.573061,AB Aur,,,TIC 96680681,Gaia DR3 156917493449670656,,9770,2.95887,2.4,1.77085,0.103296,3.77411,0.003,,,,,,
AB Pic,2.55324,AB Pic,HD 44627,HIP 30034,TIC 260351540,Gaia DR3 5495052596695570816,K2 V,5285,0.999394,0.9,-0.22631,1.120142,4.53,0.03,0.04,[Fe/H],22.2,,10.35,
